LOG_ID,RUN_TS,STEP_NAME,SOURCE,ROWS_LOADED,ROWS_REJECTED,STATUS,MESSAGE,RUN_BY,WAREHOUSE
1,2026-07-01 18:19:43.689,setup.day1_complete,manual,0,0,SUCCESS,"Platform foundation created: warehouses, schemas, RBAC, audit log",SYSADMIN,CONCORD_TRANSFORM_WH
101,2026-07-02 07:35:51.218,raw.stage_upload,local_files,4,0,SUCCESS,"Uploaded patients, claims, coverage, prior_auth to CONCORD_RAW_STAGE",CONCORD_ENGINEER,CONCORD_LOAD_WH
201,2026-07-07 23:23:16.513,staging.load_all,raw_layer,6800,0,SUCCESS,"STAGING load complete: STG_CLAIMS, STG_PATIENTS, STG_COVERAGE, STG_PRIOR_AUTH",CONCORD_ENGINEER,CONCORD_TRANSFORM_WH
301,2026-07-10 19:33:07.877,staging.load_all,raw_layer,3400,0,SUCCESS,"STAGING load complete: STG_CLAIMS, STG_PATIENTS, STG_COVERAGE, STG_PRIOR_AUTH",CONCORD_ENGINEER,CONCORD_TRANSFORM_WH
